pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
0,0,366,534,626,505,435,612,475,456,520,305,155
0,1002,366,535,638,505,454,616,481,456,530,312,163
0,2006,371,538,637,508,459,617,481,455,532,315,163
0,3009,376,544,641,513,457,616,480,459,532,328,169
0,4013,379,545,642,516,458,618,483,460,534,322,167
0,5016,381,547,645,516,459,618,483,461,534,320,173
0,6020,381,548,645,516,462,618,484,459,534,320,171
0,7023,382,549,647,517,465,619,487,462,536,312,176
0,8027,351,520,640,492,470,627,502,468,522,333,160
0,9030,353,523,638,503,477,629,504,471,529,312,163
0,10033,363,527,637,493,479,628,505,471,525,327,164
0,11036,366,530,636,500,478,625,499,470,528,323,169
0,12040,367,533,640,503,478,625,501,474,531,336,174
0,13043,367,534,641,502,486,623,501,466,534,343,180
0,14047,369,535,642,503,488,627,504,466,537,356,186
0,15050,370,535,644,501,492,626,505,467,539,361,186
0,16054,376,538,646,504,492,626,504,466,540,358,183
0,17057,376,539,647,506,494,626,503,465,542,355,185
0,18061,376,538,647,507,497,627,506,467,544,359,183
0,19064,380,540,648,507,497,627,506,466,545,351,182
0,20068,381,541,649,509,494,627,506,466,543,352,178
0,21071,381,543,650,510,492,627,504,466,540,345,170
0,22075,382,542,651,512,496,628,506,469,543,354,177
0,23078,383,543,651,513,498,628,507,470,543,353,180
0,24082,382,544,652,512,498,627,506,465,544,350,175
0,25085,384,546,652,514,498,627,505,463,546,343,175
0,26088,384,546,652,514,499,628,506,466,546,348,176
0,27091,386,547,654,515,500,628,505,465,545,340,182
0,28095,388,547,654,516,497,628,507,468,545,341,185
0,29099,388,548,654,517,499,628,506,467,547,340,186
0,30102,390,548,655,518,501,628,505,465,545,345,186
0,31106,391,549,655,519,500,628,505,465,546,341,178
0,32109,391,549,656,520,499,628,506,469,546,347,186
0,33113,396,549,655,519,502,629,506,469,546,351,187
0,34116,397,550,656,520,501,628,506,467,546,344,183
0,35120,397,550,656,519,503,629,507,468,547,350,189
0,36123,398,550,657,519,500,629,507,469,547,350,187
0,37127,397,550,657,519,502,629,508,471,548,347,195
0,38130,398,551,656,519,502,629,508,473,547,352,191
0,39134,398,551,657,519,502,629,508,473,546,346,189
0,40137,400,551,657,518,503,628,508,472,547,351,193
0,41141,399,553,658,520,503,629,508,471,546,352,191
0,42144,401,552,659,521,503,629,508,473,546,348,192
0,43147,402,552,659,520,502,628,509,474,545,351,193
0,44150,401,553,659,521,504,628,508,471,546,340,193
0,45154,397,553,659,516,485,628,518,487,535,336,191
0,46157,399,553,658,519,496,630,511,454,540,337,174
0,47161,400,554,659,519,500,631,505,458,543,334,180
0,48164,401,555,659,520,502,631,506,460,545,341,181
0,49168,401,556,659,520,504,631,508,462,546,343,183
0,50171,403,555,660,521,505,631,509,463,546,337,186
0,51175,402,555,661,519,504,631,508,464,545,352,191
0,52178,402,555,661,520,505,630,508,464,545,348,189
0,53182,400,554,658,518,506,631,516,466,545,347,192
0,54185,403,550,645,483,454,625,514,476,495,317,185
0,55189,403,541,612,381,340,609,521,475,385,310,221
0,56193,395,547,613,393,356,604,528,474,405,323,225
0,57196,395,548,619,408,366,605,525,475,424,339,226
0,58200,397,548,620,408,372,605,525,475,422,342,212
0,59202,403,553,639,426,372,609,504,454,441,328,196
0,60206,406,556,645,456,364,607,504,456,448,330,201
0,61209,411,562,650,450,368,602,492,450,446,338,199
0,62213,411,563,651,461,373,608,494,453,455,334,198
0,63216,411,564,652,464,415,615,493,444,468,348,179
0,64220,403,559,659,503,449,619,486,438,498,363,144
0,65223,401,558,659,514,485,625,484,448,510,367,146
0,66227,404,554,658,520,490,626,480,450,518,366,152
0,67230,405,554,658,520,496,626,482,452,519,369,158
0,68234,405,556,663,521,490,625,481,456,516,363,151
0,69237,410,562,667,520,477,620,472,449,508,358,158
0,70241,465,578,630,318,339,602,541,536,328,244,39
0,71244,384,514,668,387,448,622,493,494,396,320,115
0,72248,393,521,677,408,473,624,491,518,412,343,103
0,73251,400,523,681,421,482,627,496,521,427,352,104
1,74255,405,525,683,426,491,629,490,501,435,356,113
1,75258,408,526,683,429,495,630,493,511,449,356,105
1,76261,404,523,685,433,495,632,491,498,445,359,98
1,77264,350,519,696,439,482,622,487,507,442,352,86
1,78268,360,523,699,442,497,624,489,517,448,359,79
1,79271,363,523,700,446,499,622,493,520,454,369,73
1,80275,365,523,702,449,503,625,490,522,460,376,86
1,81278,367,524,702,447,507,626,490,523,461,375,84
1,82282,369,525,702,447,510,625,494,524,462,376,78
1,83286,369,526,703,452,513,627,493,524,467,381,86
1,84289,372,522,699,446,514,628,499,525,464,370,77
1,85293,373,521,699,444,516,628,500,525,467,372,75
1,86295,374,524,698,452,518,629,493,523,468,363,83
1,87299,377,524,700,451,520,629,495,526,468,371,75
1,88302,378,526,700,454,521,628,495,527,469,376,77
1,89306,385,525,700,456,525,630,496,525,472,382,87
1,90309,387,523,699,454,524,629,496,526,468,381,74
1,91313,390,527,701,454,526,629,495,526,473,381,82
1,92316,390,526,701,458,527,629,497,527,472,380,71
1,93320,392,528,701,462,528,628,495,528,471,383,55
1,94323,392,531,703,458,504,624,482,515,457,372,66
1,95327,396,536,704,463,501,626,481,513,458,367,62
1,96329,398,539,703,466,506,625,478,513,460,367,64
1,97333,396,531,696,467,512,627,484,516,467,376,67
1,98336,400,533,696,468,515,626,483,515,469,378,68
1,99340,398,534,698,467,519,627,486,518,469,375,67
1,100343,400,534,699,468,520,627,487,520,472,378,70
1,101347,402,535,698,468,523,627,488,520,475,381,67
1,102350,403,533,697,470,524,627,489,521,477,385,66
1,103354,403,531,693,470,525,627,491,522,479,382,69
1,104357,399,525,696,468,525,628,492,522,474,380,74
1,105361,403,532,699,466,523,628,490,520,474,375,73
1,106364,406,534,698,469,526,628,491,522,476,380,70
1,107368,405,534,694,463,522,629,492,520,476,383,73
1,108371,408,536,691,471,524,627,492,507,471,391,73
1,109374,405,534,690,474,526,626,492,506,472,383,73
1,110377,414,536,694,466,525,629,492,500,470,385,64
1,111381,426,540,690,464,516,625,480,507,462,383,49
1,112385,405,520,674,461,514,626,492,528,469,377,66
1,113388,414,521,670,455,528,629,494,528,472,369,62
1,114392,426,531,673,454,527,628,488,508,467,362,69
1,115395,431,532,672,436,526,627,490,512,464,358,62
1,116399,442,538,654,443,491,628,472,472,453,376,63
1,117402,437,541,673,424,494,629,481,488,436,360,54
1,118406,443,542,673,436,517,629,489,504,450,373,45
1,119409,432,530,652,479,493,625,462,493,471,410,12
1,120413,442,536,671,438,494,630,486,514,444,379,69
1,121416,438,536,673,440,501,632,488,515,452,367,75
1,122420,444,538,673,443,508,632,490,518,456,369,55
1,123423,453,549,673,442,497,632,487,503,446,331,38
1,124427,446,544,672,454,515,631,490,506,457,369,34
1,125429,449,547,675,440,510,633,492,513,452,347,49
1,126433,451,548,676,445,513,634,491,513,458,357,57
1,127436,453,548,677,447,511,633,492,518,461,355,53
1,128440,453,551,678,449,514,633,492,519,462,352,61
1,129443,453,551,678,451,516,632,494,520,463,356,63
1,130447,455,553,676,449,516,634,494,520,464,345,59
1,131450,468,566,686,449,479,629,475,507,441,330,29
1,132454,475,576,683,449,487,634,483,514,446,334,47
1,133457,489,574,631,279,342,612,560,571,264,300,60
1,134461,456,535,570,279,284,600,553,577,243,262,49
1,135464,438,540,627,358,393,618,526,542,337,313,82
1,136468,438,519,620,363,398,627,551,568,330,301,58
1,137472,467,547,601,334,344,618,526,536,306,301,77
2,138475,454,519,608,326,316,609,544,563,286,321,70
2,139479,462,532,619,347,349,617,540,563,316,320,79
2,140482,473,550,637,377,377,613,500,522,341,354,73
2,141486,472,560,535,141,190,589,528,488,135,450,275
2,142488,489,554,481,104,123,560,584,599,97,388,247
2,143492,438,558,491,108,117,567,584,609,125,418,297
2,144495,441,564,528,158,149,576,522,467,147,457,300
2,145499,449,568,538,181,176,591,534,465,168,481,313
2,146502,453,569,542,179,175,593,536,472,183,482,319
2,147506,455,569,543,187,188,593,540,478,195,483,324
2,148509,457,570,541,186,177,593,542,485,190,478,324
2,149513,459,571,539,182,169,594,542,485,184,476,327
2,150516,460,572,539,173,156,587,542,488,168,469,320
2,151520,457,571,545,193,194,598,540,474,209,474,299
2,152523,501,593,540,192,130,541,469,482,189,495,241
2,153527,519,592,548,182,131,562,495,501,142,447,288
2,154530,457,571,524,179,140,559,517,497,177,484,262
2,155534,450,557,553,174,199,586,531,487,182,489,299
2,156537,460,568,505,141,135,578,537,495,126,471,318
2,157541,462,576,526,173,159,585,535,491,141,499,350
2,158544,442,578,534,163,149,586,537,499,134,504,357
2,159548,417,578,545,178,158,591,539,501,152,512,356
2,160551,427,578,548,188,170,594,540,496,182,516,335
2,161555,434,579,535,172,149,589,541,504,123,514,358
2,162558,433,579,525,162,147,586,540,506,142,512,343
2,163562,431,580,529,175,166,590,542,508,167,517,359
2,164566,439,579,523,179,168,590,543,509,167,512,363
2,165569,446,580,531,172,170,591,541,499,170,507,329
